식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
장조림_소고기_메추리알,장조림,소고기,157,64.5,11.69,5.39,15.56,3.32,1.7,25.0,1.93,877.0,22.0,0.0,1.18,181.88,1.63,0.06
코다리조림,코다리조림,해당없음,86,76.9,16.46,0.4,4.16,3.67,12.9,73.0,0.58,466.0,8.0,0.0,6.72,66.8,0.17,0.02
숙주나물,숙주나물,해당없음,35,91.9,2.22,1.58,2.96,1.58,1.7,15.0,0.36,403.0,2.0,0.0,1.06,0.0,0.12,0.0
시금치나물,시금치나물,해당없음,69,86.2,3.74,4.46,3.36,0.1,2.0,86.0,1.28,136.0,154.0,0.0,0.26,0.0,0.4,0.12
콩나물무침,콩나물무침,해당없음,69,86.9,3.86,4.54,3.2,0.5,1.7,52.0,0.58,387.0,3.0,0.0,0.64,0.0,0.48,0.0
콩나물무침_고춧가루,콩나물무침,고춧가루,93,83.1,3.93,5.93,5.93,1.9,5.5,37.0,0.81,203.0,13.0,0.0,0.0,0.0,0.83,0.01
무생채,무생채,해당없음,49,85.9,2.43,1.11,7.33,1.78,4.9,102.0,0.53,821.0,11.0,0.0,0.55,8.09,0.16,0.02
무생채_굴,무생채,굴,50,87.5,3.68,1.26,5.92,4.04,2.6,30.0,1.21,366.0,49.0,0.0,33.28,12.81,0.19,0.01
물회_오징어,물회,오징어,49,88.0,6.19,1.2,3.26,2.1,1.5,7.0,0.12,364.0,4.0,0.0,6.89,68.29,0.19,0.0
회무침,회무침,해당없음,82,80.2,8.09,1.65,8.6,4.53,2.6,64.0,0.87,275.0,106.0,0.0,0.84,26.4,0.52,0.03
회무침_가오리,회무침,가오리,81,78.8,11.33,1.16,6.35,5.47,2.7,398.0,0.33,354.0,14.0,0.0,0.0,277.64,0.2,0.0
깍두기,깍두기,해당없음,33,90.5,1.56,1.06,4.24,2.54,2.1,45.0,0.28,808.0,9.0,0.0,0.54,3.06,0.04,0.0
나박김치,나박김치,해당없음,10,96.8,0.46,0.38,1.15,0.34,0.8,8.0,0.2,377.0,1.0,0.0,2.14,0.0,0.02,0.0
부추김치,부추김치,해당없음,47,86.9,2.68,1.16,6.36,4.08,3.8,37.0,0.5,761.0,204.0,0.0,0.42,0.0,0.1,0.0
육회,육회,해당없음,130,73.9,9.93,6.43,8.12,5.29,6.6,12.0,1.37,418.0,1.0,0.0,3.17,28.09,2.11,0.08
주먹밥_까르보나라 구운주먹밥,주먹밥,해당없음,211,,6.0,,,2.0,,,,342.0,,,,,3.1,
주먹밥_매콤 로제 구운주먹밥,주먹밥,해당없음,209,,5.0,,,3.0,,,,518.0,,,,,2.2,
피자_샘스테이크 피자 골드스윗 (R),피자,해당없음,279,,14.56,,,7.77,,,,247.0,,,,,5.83,
피자_샘스테이크 피자 석쇠 (L),피자,해당없음,278,,14.73,,,6.98,,,,225.0,,,,,4.65,
피자_1988 피자 (L),피자,해당없음,255,,10.9,,,3.21,,,,339.0,,,,,3.21,
피자_1992브로 피자 (L),피자,해당없음,277,,13.0,,,5.0,,,,446.0,,,,,3.0,
피자_2in1(한우불고기+밤스위트골드) 피자 (L),피자,해당없음,272,,16.39,,,2.49,,,,149.0,,,,,4.99,
피자_2in1(한우불고기+밤스위트골드) 피자 (F),피자,해당없음,258,,16.46,,,3.31,,,,169.0,,,,,4.32,
피자_2in1(한우불고기+밤스위트골드) 피자 (R),피자,해당없음,279,,17.13,,,2.44,,,,154.0,,,,,5.0,
피자_4색 피자 (L),피자,해당없음,342,,21.75,,,2.81,,,,560.0,,,,,8.68,
피자_4색 피자 (R),피자,해당없음,271,,17.2,,,2.24,,,,443.0,,,,,6.88,
