식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
모닝빵,모닝빵,해당없음,314,29.3,9.5,7.43,52.17,7.97,2.4,30.0,0.56,489.0,48.0,0.0,0.0,40.54,3.03,0.06
모카빵,모카빵,해당없음,339,23.9,8.55,8.05,57.96,12.53,3.6,89.0,0.97,354.0,34.0,0.0,0.97,52.07,3.76,0.31
베이글,베이글,해당없음,306,28.5,10.0,5.83,53.48,4.58,2.7,119.0,0.76,695.0,0.0,0.0,0.0,0.0,0.58,0.01
샌드위치_닭가슴살,샌드위치,닭가슴살,240,53.2,12.18,11.92,20.96,3.09,2.4,58.0,0.17,438.0,10.0,0.0,0.38,28.07,3.16,0.17
샌드위치_모듬,샌드위치,모듬,193,67.2,9.5,13.44,8.44,0.6,1.9,78.0,0.75,358.0,36.0,0.0,2.87,82.1,3.63,0.07
샌드위치_참치,샌드위치,참치,202,62.7,10.54,11.65,13.78,1.38,1.7,26.0,0.64,209.0,9.0,0.0,0.5,18.86,2.64,0.2
샌드위치_채소,샌드위치,채소,244,55.8,4.08,14.75,23.82,14.26,2.5,25.0,0.07,426.0,21.0,0.0,1.52,6.42,2.88,0.06
샌드위치_햄_달걀,샌드위치,햄,220,57.6,12.44,11.92,15.64,1.9,1.7,80.0,0.55,699.0,49.0,0.0,1.6,92.91,3.45,0.16
소보로빵,소보로빵,해당없음,392,19.6,8.27,15.13,55.63,16.69,2.9,42.0,0.74,396.0,54.0,0.0,0.4,50.53,6.39,0.57
식빵,식빵,해당없음,264,35.2,9.34,2.6,50.91,1.56,3.5,219.0,0.76,468.0,11.0,0.0,0.11,5.57,1.47,0.11
초코소라빵,초코소라빵,해당없음,319,32.9,3.29,10.93,51.76,9.29,2.1,67.0,1.23,215.0,22.0,0.0,0.0,19.61,4.34,0.03
츄러스,츄러스,해당없음,361,22.7,6.6,11.29,58.17,22.73,3.0,24.0,0.59,363.0,0.0,0.0,0.0,0.0,2.44,0.19
카스텔라,카스텔라,해당없음,335,29.9,10.03,11.47,47.99,33.77,1.3,38.0,1.46,63.0,30.0,0.0,0.0,211.21,1.14,0.01
케이크_롤케이크,케이크,롤케이크,312,36.1,7.36,11.83,44.01,24.64,1.4,32.0,1.13,143.0,24.0,0.0,0.57,142.59,1.82,0.03
케이크_생크림케이크,케이크,생크림케이크,237,55.7,3.45,12.54,27.62,14.49,1.1,42.0,0.58,151.0,27.0,0.0,1.75,70.1,8.52,0.08
